               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  70,            0.027567,            0.012403,           0.0002513,             0.84438,             0.87567,             0.92624,             0.46671,            0.023717,            0.011074,          2.4395e-05,           0.0014612,           0.0014612,           0.0014612
                  71,            0.027348,            0.012165,          0.00023899,              0.8406,             0.88024,             0.92382,             0.46606,            0.023662,             0.01109,          2.5314e-05,           0.0013375,           0.0013375,           0.0013375
                  72,            0.027997,            0.012485,          0.00025198,             0.84523,              0.8762,             0.92576,             0.46661,            0.023695,             0.01109,          2.6749e-05,           0.0012138,           0.0012138,           0.0012138
                  73,            0.027494,             0.01239,          0.00024588,             0.85079,             0.87184,             0.92494,             0.46767,            0.023607,            0.011096,          2.3934e-05,             0.00109,             0.00109,             0.00109
                  74,            0.028088,            0.012775,          0.00021602,             0.84126,             0.88072,             0.92555,             0.46861,             0.02356,            0.011076,          2.4104e-05,          0.00096625,          0.00096625,          0.00096625
                  75,             0.02806,            0.012583,          0.00019874,             0.84782,             0.87342,             0.92563,             0.46918,            0.023609,             0.01107,          2.2565e-05,           0.0008425,           0.0008425,           0.0008425
                  76,            0.027995,            0.012741,          0.00022291,             0.84599,              0.8822,             0.92917,             0.47168,            0.023489,            0.011029,          2.1934e-05,          0.00071875,          0.00071875,          0.00071875
                  77,            0.028347,            0.012671,          0.00021876,             0.84273,              0.8797,             0.92683,             0.47049,            0.023468,            0.011036,          2.1213e-05,            0.000595,            0.000595,            0.000595
                  78,            0.027659,            0.012671,          0.00018668,             0.84565,             0.88075,             0.92898,             0.47121,            0.023481,            0.010968,          2.0702e-05,          0.00047125,          0.00047125,          0.00047125
                  79,            0.028367,            0.012606,          0.00021659,             0.84612,             0.88387,             0.92941,             0.47255,            0.023446,            0.010955,          2.0407e-05,           0.0003475,           0.0003475,           0.0003475
